PropertyID,PropType,taxkey,Address,CondoProject,District,nbhd,Style,Extwall,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
203973,Condominium,4061640000,"110 N 74TH ST, Unit 110",HONEY CREEK CONDOMINIUM,10,5245,Low Rise 1-3 Stories,,1.5,2006,8,2301,1,3,3,NULL,0,5/3/2019,260000
203980,Condominium,4061647000,"117 N 73RD ST, Unit 117",HONEY CREEK CONDOMINIUM,10,5245,Low Rise 1-3 Stories,,1.5,2006,5,1459,1,2,2,NULL,0,6/7/2019,225500
203981,Condominium,4061648000,"118 N 74TH ST, Unit 118",HONEY CREEK CONDOMINIUM,10,5245,Low Rise 1-3 Stories,,1.5,2006,5,1511,1,2,2,NULL,0,11/5/2019,212000
203982,Condominium,4061649000,"119 N 73RD ST, Unit 119",HONEY CREEK CONDOMINIUM,10,5245,Low Rise 1-3 Stories,,1.5,2006,8,2355,1,3,3,NULL,0,3/11/2019,251000
203987,Condominium,4061654000,"124 N 74TH ST, Unit 124",HONEY CREEK CONDOMINIUM,10,5245,Low Rise 1-3 Stories,,1.5,2006,8,2278,1,3,3,NULL,0,4/19/2019,259000
204033,Residential,4070417000,217 N 77TH ST,,10,2720,Milwaukee Bungalow,Aluminum/Vinyl,1,1922,5,1254,1,2,1,1,5550,11/20/2019,185000
204049,Residential,4070436000,220 N 78TH ST,,10,2720,Cape Cod,Brick,1.5,1947,6,1601,1,4,2,NULL,6300,7/18/2019,197000
204097,Residential,4070631000,142-144 N 80TH ST,,10,2720,Colonial,Aluminum/Vinyl,2,2004,6,1459,1,3,2,NULL,4320,6/10/2019,239900
204117,Residential,4070651000,212 N 79TH ST,,10,2720,Cape Cod,Brick,1,1947,5,899,1,3,1,NULL,4320,6/28/2019,162000
204125,Residential,4070659000,144 N 79TH ST,,10,2720,Cape Cod,Brick,1,1945,5,1098,1,3,2,NULL,4320,7/25/2019,170000
204132,Residential,4070666000,201-203 N 78TH ST,,10,2720,Duplex N/S,Brick,1,1951,6,1311,2,2,2,NULL,4514,3/22/2019,108000
204138,Residential,4070805000,7750 W MT VERNON AV,,10,2720,Ranch,Brick,1,1953,4,936,1,2,1,NULL,6450,10/30/2019,153000
204141,Residential,4070808000,7732 W MT VERNON AV,,10,2720,Cape Cod,Aluminum/Vinyl,1,1952,6,1241,1,4,1,1,6450,1/18/2019,140000
204142,Residential,4070809000,7728 W MT VERNON AV,,10,2720,Cape Cod,Aluminum/Vinyl,1.5,1938,5,1024,1,2,1,1,6450,6/14/2019,167000
204147,Residential,4070931000,147 N 77TH ST,,10,2720,Colonial,Aluminum/Vinyl,2,2010,5,1669,1,3,2,1,3757,12/17/2019,220000
204157,Commercial,4079999000,8235 W BLUE MOUND RD,,10,6440,Fast Food Operation,Precast Masonary,1,2018,NULL,2130,1,NULL,NULL,NULL,0,7/10/2019,2250000
204168,Residential,4080011000,314 N 90TH ST,,10,2760,Ranch,Brick,1,1947,5,1205,1,3,1,NULL,6604,8/14/2019,154000
204198,Residential,4080041000,135 N 90TH ST,,10,2760,Colonial,Aluminum/Vinyl,2,1951,6,1260,1,3,1,1,5936,11/27/2019,200000
204226,Residential,4080101000,9023 W HAWTHORNE AV,,10,2760,Colonial,Masonry/Frame,2,1942,6,1860,1,3,1,1,6720,6/3/2019,227500
204278,Residential,4081033000,432 N 91ST ST,,10,2760,Colonial,Brick,2,1936,7,1725,1,3,1,1,8883,5/6/2019,245000
204280,Residential,4081035000,450 N 91ST ST,,10,2760,Cape Cod,Brick,1,1952,4,1060,1,2,1,NULL,6048,10/31/2019,139000
204284,Residential,4081039000,9034 W MT VERNON AV,,10,2760,Cape Cod,Aluminum/Vinyl,1,1951,5,1377,1,3,2,NULL,6138,4/4/2019,174000
204294,Residential,4081049000,9144 W PARK HILL AV,,10,2760,Cape Cod,Aluminum/Vinyl,1,1952,5,1050,1,3,1,NULL,4872,10/7/2019,165000
204300,Residential,4081055000,221 N 91ST ST,,10,2760,Ranch,Brick,1,1953,4,1035,1,2,1,NULL,5760,6/7/2019,179900
204312,Residential,4081067000,172 N 92ND ST,,10,2760,Cape Cod,Aluminum/Vinyl,1,1951,5,1458,1,3,2,NULL,5500,5/15/2019,205000
204335,Residential,4081090000,162 N 91ST PL,,10,2760,Colonial,Frame,2,1949,7,1602,1,3,2,NULL,5500,6/28/2019,222000
204343,Residential,4081098000,181 N 91ST ST,,10,2760,Ranch,Aluminum/Vinyl,1,1949,4,768,1,2,1,NULL,5117,2/22/2019,160100
204354,Lg Apartment,4081109000,9163 W HAWTHORNE AV,,10,6810,AP1 (Conventional Apt with 4-6 Units),Brick,2,1942,0,2816,4,1,NULL,NULL,9720,6/11/2019,248000
204393,Residential,4090229000,622 N 95TH ST,,10,2760,Ranch,Brick,1,1957,5,1179,1,2,1,NULL,7250,6/13/2019,235000
204423,Residential,4090316000,9317 W BLUE MOUND RD,,10,2760,Ranch,Aluminum/Vinyl,1,1953,5,1068,1,3,2,NULL,5450,11/22/2019,175000
204438,Residential,4090331000,350 N 95TH ST,,10,2760,Ranch,Aluminum/Vinyl,1,1952,4,768,1,2,1,NULL,6849,7/18/2019,149600
204439,Residential,4090332000,9437 W ST PAUL AV,,10,2760,Cape Cod,Aluminum/Vinyl,1,1953,6,1468,1,4,2,NULL,6600,5/6/2019,176800
204475,Residential,4090369000,9209 W ST PAUL AV,,10,2760,Colonial,Brick,2,1935,7,1692,1,4,1,NULL,7150,10/31/2019,292500
204484,Residential,4090378000,9303 W MT VERNON AV,,10,2760,Ranch,Aluminum/Vinyl,1,1953,7,1450,1,3,1,NULL,6888,7/22/2019,239900
204486,Residential,4090380000,9231-9235 W MT VERNON AV,,10,2760,Cape Cod,Masonry/Frame,1.5,1950,6,1505,1,3,2,NULL,9000,1/11/2019,170000
204510,Residential,4090404000,154 N 93RD ST,,10,2760,Ranch,Brick,1,1953,7,1185,1,3,1,NULL,7260,1/10/2019,230000
204670,Lg Apartment,4161016110,407-411 S 94TH PL,,10,6800,AP1 (Conventional Apt with 4-6 Units),Brick,2,1966,0,3144,6,1,NULL,NULL,13253,1/8/2019,309640
204696,Residential,4161113000,514 S 93RD ST,,10,2710,Cape Cod,Aluminum/Vinyl,1,1957,6,1036,1,4,1,NULL,3500,9/9/2019,161000
